bias,closestFood,closestFoodNow,closestGhost,closestGhostNow,closestScaredGhost,closestScaredGhostNow,eatenByGhost,eatsCapsule,eatsFood,foodCount,foodWithinFiveSpaces,foodWithinNineSpaces,foodWithinThreeSpaces,furthestFood,numberAvailableActions,ratioCapsuleDistance,ratioFoodDistance,ratioGhostDistance,ratioScaredGhostDistance,label
1.0,0.47222222222222227,1.0,0.04090909090909091,0.0410958904109589,1.0,1.0,0.0,0.0,0.33127435144120065,0.8865979381443299,0.9615384615384616,0.6440677966101694,0.6428571428571429,0.76,1.0,0.6000000000000001,0.6521739130434783,0.45,0.3333333333333333,0
1.0,1.0,0.625,0.05,0.0410958904109589,1.0,1.0,0.0,0.0,0.6180423819579192,0.8762886597938144,0.5769230769230769,0.5254237288135594,0.5714285714285714,0.84,0.8,0.20000000000000007,0.18840579710144925,0.55,0.3333333333333333,1
1.0,0.47222222222222227,1.0,0.045454545454545456,0.0410958904109589,1.0,1.0,0.0,0.0,0.20034989353473434,0.8865979381443299,0.8846153846153846,0.5932203389830508,0.6428571428571429,0.8,0.6,0.4,0.6521739130434783,0.5,0.3333333333333333,0
1.0,1.0,1.0,0.05,0.0502283105022831,1.0,1.0,0.0,0.0,0.6218652868201854,0.865979381443299,0.6153846153846154,0.5254237288135594,0.42857142857142855,0.84,0.6,0.1600000000000001,0.30434782608695654,0.4583333333333333,0.3333333333333333,1
1.0,1.0,1.0,0.05454545454545454,0.0502283105022831,1.0,1.0,0.0,0.0,0.7617021802365203,0.865979381443299,0.5384615384615384,0.4915254237288136,0.35714285714285715,0.88,0.6,0.64,0.30434782608695654,0.5,0.3333333333333333,0
1.0,0.29629629629629634,1.0,0.05,0.0502283105022831,1.0,1.0,0.0,0.0,0.2451629816772372,0.8762886597938144,0.8461538461538461,0.576271186440678,0.5714285714285714,0.8,0.6,0.64,1.0,0.4583333333333333,0.3333333333333333,0
1.0,0.47222222222222227,1.0,0.05454545454545454,0.0502283105022831,1.0,1.0,0.0,0.0,0.4167976882740699,0.8762886597938144,0.5769230769230769,0.5254237288135594,0.5714285714285714,0.84,0.8,0.4,0.6521739130434783,0.5,0.3333333333333333,0
1.0,1.0,0.625,0.05,0.0502283105022831,1.0,1.0,0.0,0.0,0.6946056780475539,0.8556701030927835,0.5384615384615384,0.5254237288135594,0.42857142857142855,0.88,0.6,0.10000000000000003,0.18840579710144925,0.4583333333333333,0.3333333333333333,1
1.0,0.47222222222222227,1.0,0.05454545454545454,0.0502283105022831,1.0,1.0,0.0,0.0,0.28722015974090087,0.865979381443299,0.5384615384615384,0.5084745762711864,0.5,0.84,0.8,0.7000000000000001,0.6521739130434783,0.5,0.3333333333333333,0
1.0,0.47222222222222227,1.0,0.05454545454545454,0.0502283105022831,1.0,1.0,0.0,0.0,0.4260340424268193,0.865979381443299,0.6153846153846154,0.5254237288135594,0.42857142857142855,0.84,0.6,0.4,0.6521739130434783,0.5,0.3333333333333333,0
1.0,1.0,0.625,0.05,0.0502283105022831,1.0,1.0,0.0,0.0,0.6528216927530714,0.845360824742268,0.4230769230769231,0.4915254237288136,0.2857142857142857,0.92,0.6,0.0,0.18840579710144925,0.4583333333333333,0.3333333333333333,1
1.0,0.29629629629629634,1.0,0.05454545454545454,0.0502283105022831,1.0,1.0,0.0,0.0,0.47087312040239393,0.8556701030927835,0.5769230769230769,0.5084745762711864,0.35714285714285715,0.84,0.6,0.7999999999999999,1.0,0.5,0.3333333333333333,0
1.0,0.47222222222222227,1.0,0.05454545454545454,0.0502283105022831,1.0,1.0,0.0,0.0,0.31872908938519184,0.8556701030927835,0.5384615384615384,0.5254237288135594,0.42857142857142855,0.88,0.6,0.4,0.6521739130434783,0.5,0.3333333333333333,0
1.0,0.47222222222222227,0.625,1.0,1.0,0.045662100456621,0.0502283105022831,0.0,1.0,0.1093406782590651,0.845360824742268,0.34615384615384615,0.4406779661016949,0.21428571428571427,0.96,0.6,0.44800000000000006,0.42028985507246375,0.5,0.27777777777777773,1
1.0,0.29629629629629634,0.625,0.05454545454545454,0.0502283105022831,1.0,1.0,0.0,0.0,0.38099094526306804,0.845360824742268,0.5,0.5084745762711864,0.35714285714285715,0.88,0.6,1.0,0.6521739130434783,0.5,0.3333333333333333,0
1.0,0.29629629629629634,0.625,0.05454545454545454,0.0502283105022831,1.0,1.0,0.0,0.0,0.17640359846951853,0.845360824742268,0.4230769230769231,0.4915254237288136,0.2857142857142857,0.92,0.6,0.4,0.6521739130434783,0.5,0.3333333333333333,0
1.0,0.29629629629629634,1.0,1.0,1.0,0.05251141552511415,0.04794520547945205,0.0,0.0,0.40736627171104306,0.845360824742268,0.4230769230769231,0.4915254237288136,0.2857142857142857,0.92,0.6,0.3538461538461539,1.0,0.5,0.3913043478260869,0
1.0,1.0,0.625,1.0,1.0,0.04337899543378995,0.04794520547945205,0.0,0.0,0.7330020377424914,0.8350515463917526,0.38461538461538464,0.5084745762711864,0.2857142857142857,0.92,0.6,0.3538461538461539,0.18840579710144925,0.5,0.27536231884057966,1
1.0,0.47222222222222227,1.0,1.0,1.0,0.04794520547945205,0.04794520547945205,0.0,0.0,0.44453850243519416,0.845360824742268,0.34615384615384615,0.4406779661016949,0.21428571428571427,0.96,0.6,0.4,0.6521739130434783,0.5,0.3333333333333333,0
1.0,1.0,0.625,1.0,1.0,0.0410958904109589,0.045662100456621,0.0,0.0,0.731963517417293,0.8247422680412371,0.46153846153846156,0.5254237288135594,0.42857142857142855,0.88,0.6,0.352,0.18840579710144925,0.5,0.2727272727272727,1
1.0,0.29629629629629634,1.0,1.0,1.0,0.0502283105022831,0.045662100456621,0.0,0.0,0.33189332409342137,0.8350515463917526,0.3076923076923077,0.423728813559322,0.14285714285714285,0.96,0.6,0.44800000000000006,1.0,0.5,0.39393939393939387,0
1.0,0.47222222222222227,1.0,1.0,1.0,0.045662100456621,0.045662100456621,0.0,0.0,0.3019311955389475,0.8350515463917526,0.38461538461538464,0.5084745762711864,0.2857142857142857,0.92,0.6,0.4,0.6521739130434783,0.5,0.3333333333333333,0
1.0,1.0,0.625,1.0,1.0,0.03881278538812785,0.04337899543378995,0.0,0.0,0.7228752472144823,0.8144329896907216,0.5769230769230769,0.5254237288135594,0.5,0.84,0.6,0.3500000000000001,0.18840579710144925,0.5,0.2698412698412698,1
1.0,0.29629629629629634,1.0,1.0,1.0,0.04794520547945205,0.04337899543378995,0.0,0.0,0.30576078746706764,0.8247422680412371,0.34615384615384615,0.4915254237288136,0.21428571428571427,0.92,0.6,0.4500000000000001,1.0,0.5,0.3968253968253969,0
